MPID|MP Type|Name|Location|Telephone|NASDAQ Member|FINRA Member|NASDAQ BX Member|PSX Participant
AACI|P|Aaron Capital, Incorporated|||N|N|N|N
AALC|P|Thrivent Investment Management Inc.|||N|Y|N|N
ABBK|P|APEX CLEARING CORPORATION|||Y|Y|Y|Y
ABDW|M|APEX CLEARING CORPORATION|||Y|Y|Y|Y
ABEN|P|APEX CLEARING CORPORATION|||Y|Y|Y|Y
ABGS|P|ABG Sundal Collier Inc.|NEW YORK, NY|212-371-5000|N|Y|N|N
ABLE|M|NATIXIS Securities Americas LLC|BROKER/DEALERS SALES|800-325-ABLE|N|Y|N|N
ABLE|M|NATIXIS Securities Americas LLC|DOMESTIC|212-299-4500|N|Y|N|N
ABLE|M|NATIXIS Securities Americas LLC|DOMESTIC|800-221-3365|N|Y|N|N
ABLE|M|NATIXIS Securities Americas LLC|INTERNATIONAL|800-223-3134|N|Y|N|N
ABLE|M|NATIXIS Securities Americas LLC|ARBITRAGE|212-333-4440|N|Y|N|N
ABLE|M|NATIXIS Securities Americas LLC|ARBITRAGE|212-333-4441|N|Y|N|N
ABLE|M|NATIXIS Securities Americas LLC|CONVERTIBLE|212-333-4554|N|Y|N|N
ABLE|M|NATIXIS Securities Americas LLC|EUROPE|212-299-4505|N|Y|N|N
ABLE|M|NATIXIS Securities Americas LLC|FAR EAST|212-299-4508|N|Y|N|N
ABLE|M|NATIXIS Securities Americas LLC|LATIN AMERICA|212-299-4511|N|Y|N|N
ABLE|M|NATIXIS Securities Americas LLC|SOUTH AFRICA|212-299-4513|N|Y|N|N
ABNA|P|ABN AMRO SECURITIES (USA) LLC|||N|Y|N|N
ABNB|P|ABN AMRO SECURITIES (USA) LLC|||N|Y|N|N
ABNS|P|ABEL NOSER, LLC.|||Y|Y|N|N
ABRM|P|ABRAHAM SECURITIES CORPORATION|||N|Y|N|N
ABST|P|APEX CLEARING CORPORATION|||Y|Y|Y|Y
ABWA|P|APEX CLEARING CORPORATION|||Y|Y|Y|Y
ABYL|P|North Star Investment Services, Inc.|GRAND HAVEN  MI|616-846-3620|N|N|N|N
ACAD|P|ACADEMY SECURITIES, INC.|||N|Y|N|N
ACAP|P|ALAMO CAPITAL|||N|Y|N|N
ACBD|P|AMERICAN CENTURY INVESTMENT SERVICES INC.|||N|Y|N|N
ACCP|P|AEGIS CAPITAL CORP|||Y|Y|N|N
ACEJ|P|Allen C. Ewing & Co.|||N|Y|N|N
ACET|P|MERAKI GLOBAL ADVISORS LLC|||N|Y|N|N
ACGL|P|ACG, LLC|||N|N|N|N
ACGP|P|Andes Capital Group, LLC|||N|Y|N|N
ACLN|P|ALEXANDER CAPITAL, L.P.|||N|Y|N|N
ACLP|P|ALEXANDER CAPITAL, L.P.|||N|Y|N|N
